Name,Park Code,Region,State,lat,lng,Park Website,See Observations in iNaturalist
Cane River Creole National Historical Park,CARI,SER,LA,31.66444165,-93.00729876,https://www.nps.gov/CARI/index.htm,http://www.inaturalist.org/observations?place_id=95105&subview=grid
Carl Sandburg Home National Historic Site,CARL,SER,NC,35.26815486,-82.45106268,https://www.nps.gov/CARL/index.htm,http://www.inaturalist.org/observations?place_id=95111&subview=grid
Castillo de San Marcos National Monument,CASA,SER,FL,29.897857,-81.31217173,https://www.nps.gov/CASA/index.htm,http://www.inaturalist.org/observations?place_id=95135&subview=grid
Catoctin Mountain Park,CATO,NCR,MD,39.64821119,-77.46122133,https://www.nps.gov/CATO/index.htm,http://www.inaturalist.org/observations?place_id=97409&subview=grid
Carlsbad Caverns National Park,CAVE,IMR,NM,32.14092525,-104.5531363,https://www.nps.gov/CAVE/index.htm,http://www.inaturalist.org/observations?place_id=69109&subview=grid
Capulin Volcano National Monument,CAVO,IMR,NM,36.78171068,-103.9710428,https://www.nps.gov/CAVO/index.htm,http://www.inaturalist.org/observations?place_id=90998&subview=grid
Carter G. Woodson National Historic Site,CAWO,NCR,MD,38.91088511,-77.02430875,https://www.nps.gov/CAWO/index.htm,http://www.inaturalist.org/observations?place_id=97410&subview=grid
Cedar Creek & Belle Grove Historical Park,CEBE,NER,VA,38.9923793,-78.31608609,https://www.nps.gov/CEBE/index.htm,http://www.inaturalist.org/observations?place_id=95133&subview=grid
Cedar Breaks National Monument,CEBR,IMR,UT,37.63545088,-112.8452681,https://www.nps.gov/CEBR/index.htm,http://www.inaturalist.org/observations?place_id=53640&subview=grid
Cesar E. Chavez National Monument,CECH,PWR,CA,35.22729381,-118.5615781,https://www.nps.gov/CECH/index.htm,http://www.inaturalist.org/observations?place_id=95129&subview=grid
Chamizal National Memorial,CHAM,IMR,TX,31.76729632,-106.4544011,https://www.nps.gov/CHAM/index.htm,http://www.inaturalist.org/observations?place_id=95136&subview=grid
Chattahoochee River National Recreation Area,CHAT,SER,GA,33.97241053,-84.26676471,https://www.nps.gov/CHAT/index.htm,http://www.inaturalist.org/observations?place_id=95137&subview=grid
Chickamauga and Chattanooga National Military Park,CHCH,SER,GA,34.91896903,-85.25401191,https://www.nps.gov/CHCH/index.htm,http://www.inaturalist.org/observations?place_id=95138&subview=grid
Chaco Culture National Historical Park,CHCU,IMR,NM,36.04492194,-107.9481528,https://www.nps.gov/CHCU/index.htm,http://www.inaturalist.org/observations?place_id=95139&subview=grid
Chickasaw National Recreation Area,CHIC,IMR,OK,34.46049374,-97.00715806,https://www.nps.gov/CHIC/index.htm,http://www.inaturalist.org/observations?place_id=95140&subview=grid
Chiricahua National Monument,CHIR,IMR,AZ,32.01214105,-109.3416065,https://www.nps.gov/CHIR/index.htm,http://www.inaturalist.org/observations?place_id=53613&subview=grid
Channel Islands National Park,CHIS,PWR,CA,34.01655127,-119.7396508,https://www.nps.gov/CHIS/index.htm,http://www.inaturalist.org/observations?place_id=3157&subview=grid
Chesapeake and Ohio Canal National Historical Park,CHOH,NCR,DC,39.5996516,-77.94484191,https://www.nps.gov/CHOH/index.htm,http://www.inaturalist.org/observations?place_id=97463&subview=grid
Charles Pinckney National Historic Site,CHPI,SER,SC,32.84577391,-79.82487582,https://www.nps.gov/CHPI/index.htm,http://www.inaturalist.org/observations?place_id=95144&subview=grid
Christiansted National Historic Site,CHRI,SER,VI,17.73405572,-64.73996534,https://www.nps.gov/CHRI/index.htm,http://www.inaturalist.org/observations?place_id=95145&subview=grid
Little Rock Central High School National Historic Site,CHSC,MWR,AR,34.73695924,-92.29989913,https://www.nps.gov/CHSC/index.htm,http://www.inaturalist.org/observations?place_id=95103&subview=grid
Charles Young Buffalo Soldiers National Monument,CHYO,MWR,OH,39.70744063,-83.89223082,https://www.nps.gov/CHYO/index.htm,http://www.inaturalist.org/observations?place_id=95124&subview=grid
City of Rocks National Reserve,CIRO,PWR,ID,42.06988424,-113.7124104,https://www.nps.gov/CIRO/index.htm,http://www.inaturalist.org/observations?place_id=95104&subview=grid
Clara Barton National Historic Site,CLBA,NCR,MD,38.96762881,-77.14009689,https://www.nps.gov/CLBA/index.htm,http://www.inaturalist.org/observations?place_id=95112&subview=grid
Constitution Gardens,COGA,NCR,DC,38.89093673,-77.04426658,https://www.nps.gov/COGA/index.htm,http://www.inaturalist.org/observations?place_id=97443&subview=grid
Colorado National Monument,COLM,IMR,CO,39.05042535,-108.6920609,https://www.nps.gov/COLM/index.htm,http://www.inaturalist.org/observations?place_id=95132&subview=grid
